bulletin_id,issued_at,valid_from,valid_to,node_id,severity,road_status,water_navigation_status,max_rainfall_mm,max_flood_risk_idx,headline,bulletin_text,evidence_ref,source_type
WX_20250101_CT_HUB,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,CT_HUB,none,open,open,3.312075,0.023439,"Trung tâm trung chuyển Cần Thơ: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Trung tâm trung chuyển Cần Thơ ngày 2025-01-01. Mưa cực đại theo giờ 3.3 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:CT_HUB,simulated
WX_20250101_HCM_MARKET,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,HCM_MARKET,none,open,not_applicable,2.767556,0.042578,"Thị trường TP.HCM: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Thị trường TP.HCM ngày 2025-01-01. Mưa cực đại theo giờ 2.8 mm, rủi ro lũ cực đại 0.04. Trạng thái đường bộ: thông thường; trạng thái đường thủy: không áp dụng. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:HCM_MARKET,simulated
WX_20250101_HUB_LONGXUYEN,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,HUB_LONGXUYEN,none,open,open,3.660026,0.025902,"Hub Long Xuyên: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Long Xuyên ngày 2025-01-01. Mưa cực đại theo giờ 3.7 mm, rủi ro lũ cực đại 0.03. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:HUB_LONGXUYEN,simulated
WX_20250101_HUB_SOCTRANG,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,HUB_SOCTRANG,none,open,open,3.522702,0.024930,"Hub Sóc Trăng: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Sóc Trăng ngày 2025-01-01. Mưa cực đại theo giờ 3.5 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:HUB_SOCTRANG,simulated
WX_20250101_HUB_VINHLONG,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,HUB_VINHLONG,none,open,open,2.913217,0.020617,"Hub Vĩnh Long: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Vĩnh Long ngày 2025-01-01. Mưa cực đại theo giờ 2.9 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:HUB_VINHLONG,simulated
WX_20250101_HUB_VITHANH,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00,2025-01-01T23:00:00+07:00,HUB_VITHANH,none,open,open,3.579138,0.025329,"Hub Vị Thanh: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Vị Thanh ngày 2025-01-01. Mưa cực đại theo giờ 3.6 mm, rủi ro lũ cực đại 0.03. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-01:HUB_VITHANH,simulated
WX_20250102_CT_HUB,2025-01-02T00:00:00+07:00,2025-01-02T00:00:00+07:00,2025-01-02T23:00:00+07:00,CT_HUB,none,open,open,2.317477,0.016401,"Trung tâm trung chuyển Cần Thơ: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Trung tâm trung chuyển Cần Thơ ngày 2025-01-02. Mưa cực đại theo giờ 2.3 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-02:CT_HUB,simulated
WX_20250102_HCM_MARKET,2025-01-02T00:00:00+07:00,2025-01-02T00:00:00+07:00,2025-01-02T23:00:00+07:00,HCM_MARKET,none,open,not_applicable,2.380643,0.036625,"Thị trường TP.HCM: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Thị trường TP.HCM ngày 2025-01-02. Mưa cực đại theo giờ 2.4 mm, rủi ro lũ cực đại 0.04. Trạng thái đường bộ: thông thường; trạng thái đường thủy: không áp dụng. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-02:HCM_MARKET,simulated
WX_20250102_HUB_LONGXUYEN,2025-01-02T00:00:00+07:00,2025-01-02T00:00:00+07:00,2025-01-02T23:00:00+07:00,HUB_LONGXUYEN,none,open,open,2.251263,0.015932,"Hub Long Xuyên: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Long Xuyên ngày 2025-01-02. Mưa cực đại theo giờ 2.3 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-02:HUB_LONGXUYEN,simulated
WX_20250102_HUB_SOCTRANG,2025-01-02T00:00:00+07:00,2025-01-02T00:00:00+07:00,2025-01-02T23:00:00+07:00,HUB_SOCTRANG,none,open,open,2.471976,0.017494,"Hub Sóc Trăng: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Sóc Trăng ngày 2025-01-02. Mưa cực đại theo giờ 2.5 mm, rủi ro lũ cực đại 0.02. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2025-01-02:HUB_SOCTRANG,simulated
